name,address,thana,district,brand,capacity,quantity,receipt,type,model,serial
"Tasty Treat-Birdem Hospital, Shahbag, Dhaka",122 Kazi Nazrul Islam Ave,none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Tasty Treat-Ibrahim Cardiac Hospital,122 Kazi Nazrul Islam Ave,none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Birdem  -2, Segun Bagicha, Dhaka",1/A Segun Bagicha Rd,none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Motijheel,"34/4 kamalapur kachabazar road,motijheel",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Bijoynagar,"169, Shahid Sayed Nazrul Islam Saroni, Bijoynagar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Nayapolton,"43, Naya Paltan",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Baily Road,"143/2, New Baily Road, A Q P ",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Eskaton road ,Dhaka","84,New Eskaton road",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Moughbazar,"70-71, Outer Circular Road, Moghbazar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Uttara-6,"H#1, Road#13, Sector#6, Uttara",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Nikunja,"H#32, Road#01, Nikunja-2",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Uttara#13,"18, Gausal Azam Avenue, Quantum Mostafa Tower, Sector 13, Uttara",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
